title,author,link,home,rss,date,timestamp
Music Video Generation with AI,Bin Wang - My Personal Blog,https://www.binwang.me/2026-01-02-Music-Video-Generation-with-AI.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2026-01-02,1767330000.0
Home Network Setup with OpenWrt and VLANs,Bin Wang - My Personal Blog,https://www.binwang.me/2025-12-27-Home-Network-Setup-with-OpenWrt-and-VLANs.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-12-27,1766811600.0
Fix ZFS Linux Kernel Dependency on Arch Linux,Bin Wang - My Personal Blog,https://www.binwang.me/2025-12-17-Fix-ZFS-Linux-Kernel-Dependency-on-Arch-Linux.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-12-17,1765947600.0
A Rust CLI Program， Use It with LLM and Convert It to Web UI,Bin Wang - My Personal Blog,https://www.binwang.me/2025-12-10-A-Rust-CLI-Program.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-12-10,1765342800.0
My First Rust Project,Bin Wang - My Personal Blog,https://www.binwang.me/2025-10-28-My-First-Rust-Project.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-10-28,1761624000.0
Download Message Images from Seesaw,Bin Wang - My Personal Blog,https://www.binwang.me/2025-10-06-Download-Message-Images-from-Seesaw.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-10-06,1759723200.0
My Workflow to Review Articles with LLMs,Bin Wang - My Personal Blog,https://www.binwang.me/2025-08-15-My-Workflow-to-Review-Articles-with-LLMs.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-08-15,1755230400.0
Why Consensus Shortcuts Fail in Distributed Systems,Bin Wang - My Personal Blog,https://www.binwang.me/2025-08-13-Why-Consensus-Shortcuts-Fail.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-08-13,1755057600.0
Improve Books Section of My Blog,Bin Wang - My Personal Blog,https://www.binwang.me/2025-07-02-Improve-Books-Section-of-My-Blog.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-07-02,1751428800.0
Use OpenAPI Instead of MCP for LLM Tools,Bin Wang - My Personal Blog,https://www.binwang.me/2025-04-27-Use-OpenAPI-Instead-of-MCP-for-LLM-Tools.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-04-27,1745726400.0
Travel Back To China: 2025 Edition,Bin Wang - My Personal Blog,https://www.binwang.me/2025-02-28-Travel-Back-To-China-2025.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-02-28,1740718800.0
Replace A Dead Node in My High Availability Cluster,Bin Wang - My Personal Blog,https://www.binwang.me/2025-02-01-Replace-A-Dead-Node-in-My-High-Avaliable-Cluster.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-02-01,1738386000.0
A 2-Year Reflection for 2023 and 2024,Bin Wang - My Personal Blog,https://www.binwang.me/2025-01-13-A-2-Year-Reflection.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2025-01-13,1736744400.0
Jepsen Test on Patroni: A PostgreSQL High Availability Solution,Bin Wang - My Personal Blog,https://www.binwang.me/2024-12-02-PostgreSQL-High-Availability-Solutions-Part-1.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-12-02,1733115600.0
SBT Task to Build Frontend Components,Bin Wang - My Personal Blog,https://www.binwang.me/2024-09-13-SBT-Task-to-Build-Frontend-Components.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-09-13,1726200000.0
My MacOS Essentials,Bin Wang - My Personal Blog,https://www.binwang.me/2024-08-07-My-MacOS-Essentials.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-08-07,1723003200.0
Source Code of RSS Brain is Available,Bin Wang - My Personal Blog,https://www.binwang.me/2024-07-27-Source-Code-of-RSS-Brain-Is-Available.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-07-27,1722052800.0
A Review of Linux on Surface Pro 4,Bin Wang - My Personal Blog,https://www.binwang.me/2024-07-12-A-Review-of-Linux-on-Surface-Pro-4.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-07-12,1720756800.0
Create a Checkbox That Returns Boolean Value for htmx,Bin Wang - My Personal Blog,https://www.binwang.me/2024-06-08-Create-a-Checkbox-That-Returns-Boolean-Value-for-htmx.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-06-08,1717819200.0
Random Playlists for Self Hosted Videos,Bin Wang - My Personal Blog,https://www.binwang.me/2024-06-03-Random-Video-Playlists-for-Self-Hosted-Videos.html,https://www.binwang.me/,https://www.binwang.me/feed.xml,2024-06-03,1717387200.0
