title,author,link,home,rss,date,timestamp
2025小结,绘星里,https://blog.storical.fun/posts/goodbye-2025/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-12-27,1766834552.0
2025-12小记,绘星里,https://blog.storical.fun/posts/write-202512/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-12-26,1766793037.0
2025的最后几天，主题再次重写,绘星里,https://blog.storical.fun/posts/theme-re/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-12-20,1766236461.0
一个追梦者的“堕落”,绘星里,https://blog.storical.fun/posts/the-fallen-of-a-aspirant/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-12-07,1765096482.0
2025-11小记,绘星里,https://blog.storical.fun/posts/write-202511/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-11-29,1764422127.0
2025-10小记,绘星里,https://blog.storical.fun/posts/write-202510/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-10-26,1761477678.0
友情链接,绘星里,https://blog.storical.fun/links/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-10-26,1761462000.0
2025国庆小记,绘星里,https://blog.storical.fun/posts/write-national-day-of-china-2025/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-10-08,1759928252.0
2025-09小记,绘星里,https://blog.storical.fun/posts/write-202509/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-09-27,1758933588.0
关于我,绘星里,https://blog.storical.fun/about/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-09-13,1757746053.0
2025-08小记,绘星里,https://blog.storical.fun/posts/write-202508/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-08-24,1756041634.0
2025-07小记,绘星里,https://blog.storical.fun/posts/write-202507/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-07-30,1753884152.0
2025-06小记,绘星里,https://blog.storical.fun/posts/write-202506/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-06-28,1751140952.0
2025-05小记,绘星里,https://blog.storical.fun/posts/write-202505/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-05-31,1748686708.0
2025-04小记,绘星里,https://blog.storical.fun/posts/write-202504/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-04-30,1746033508.0
2025-03小记,绘星里,https://blog.storical.fun/posts/write-202503/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-03-30,1743355108.0
2025-02小记,绘星里,https://blog.storical.fun/posts/63667/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-02-28,1740764499.0
2025-01小记,绘星里,https://blog.storical.fun/posts/63616/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-01-28,1738103253.0
IndieWeb的实现,绘星里,https://blog.storical.fun/posts/22037/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-01-27,1737991244.0
新的域名，新的故事,绘星里,https://blog.storical.fun/posts/60486/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2025-01-19,1737326718.0
很屑的2024年度总结（,绘星里,https://blog.storical.fun/posts/23226/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-12-31,1735670369.0
圣诞快乐+12月小记,绘星里,https://blog.storical.fun/posts/65382/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-12-25,1735159197.0
2024-11小记,绘星里,https://blog.storical.fun/posts/61713/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-11-24,1732445299.0
2024-10小记,绘星里,https://blog.storical.fun/posts/61712/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-10-27,1730028360.0
站点装修与国庆小记,绘星里,https://blog.storical.fun/posts/10733/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-10-06,1728241111.0
2024-09小记,绘星里,https://blog.storical.fun/posts/64856/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-09-30,1727728188.0
2024-08小记,绘星里,https://blog.storical.fun/posts/15688/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-08-31,1725104028.0
真·彩虹猫加载动画,绘星里,https://blog.storical.fun/posts/46640/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-08-02,1722618748.0
2024-07小记,绘星里,https://blog.storical.fun/posts/15799/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-07-30,1722379339.0
2024-06小记,绘星里,https://blog.storical.fun/posts/64935/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-06-28,1719613919.0
2024-05小记,绘星里,https://blog.storical.fun/posts/10021/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-05-26,1716758313.0
Ruffle测试,绘星里,https://blog.storical.fun/posts/57692/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-05-25,1716671559.0
2024-04小记,绘星里,https://blog.storical.fun/posts/15748/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-05-02,1714674702.0
马里奥制造1打百人团教程,绘星里,https://blog.storical.fun/posts/10996/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-04-27,1714247020.0
Serv00搭建Artalk,绘星里,https://blog.storical.fun/posts/13624/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-04-12,1712961974.0
博客装修+3月小记,绘星里,https://blog.storical.fun/posts/27762/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-04-06,1712432444.0
2024-02小记,绘星里,https://blog.storical.fun/posts/15842/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-03-03,1709489444.0
给你的站点添加个可可爱爱的看板娘——伪春菜,绘星里,https://blog.storical.fun/posts/54787/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-02-16,1708103846.0
2024.01小记,绘星里,https://blog.storical.fun/posts/52677/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-01-31,1706720812.0
为博客添加一个游戏收藏页（npm插件版）,绘星里,https://blog.storical.fun/posts/10045/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-01-18,1705613991.0
对于虚拟桌宠模拟器，我的评价（及使用教程）,绘星里,https://blog.storical.fun/posts/45875/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-01-12,1705083407.0
自建不蒜子API,绘星里,https://blog.storical.fun/posts/28536/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2024-01-11,1705002768.0
2023小结,绘星里,https://blog.storical.fun/posts/27531/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-12-30,1703957816.0
11月小记,绘星里,https://blog.storical.fun/posts/42580/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-11-17,1700257804.0
九月二三事,绘星里,https://blog.storical.fun/posts/56467/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-10-04,1696440346.0
遭殃前的海洋,绘星里,https://blog.storical.fun/posts/29196/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-08-26,1693071732.0
游玩mud游戏,绘星里,https://blog.storical.fun/posts/38917/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-08-06,1691337096.0
记一次部署Memos,绘星里,https://blog.storical.fun/posts/18063/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-08-01,1690907415.0
萌ICP备异次元之旅,绘星里,https://blog.storical.fun/posts/58203/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-07-24,1690209992.0
我的tulpa —— 夏玖铃的简介,绘星里,https://blog.storical.fun/posts/50710/,https://blog.storical.fun/,https://blog.storical.space/atom.xml,2023-07-16,1689504189.0
